MonthStart,ForecastClaimCost
2026-02-01,99797.43649999992
2026-03-01,94522.62639999988
2026-04-01,93560.53960000003
2026-05-01,96833.5119499999
2026-06-01,97167.70599999986
2026-07-01,95627.0649499999
2026-08-01,95735.46624999992
2026-09-01,95624.68044999988
2026-10-01,97431.84494999988
2026-11-01,97423.81729999988
2026-12-01,97529.07739999992
2027-01-01,95696.8769999999
2027-02-01,95708.7248499999
2027-03-01,95597.93904999988
2027-04-01,97431.84494999988
2027-05-01,97423.81729999988
2027-06-01,97529.07739999992
2027-07-01,95696.8769999999
