MonthStart,Disease,PatientCount,ClaimAmount
1944-12-01,Acute bronchitis (disorder),1,500
1955-05-01,Acute bronchitis (disorder),1,500
1958-10-01,Acute bronchitis (disorder),1,500
1963-01-01,Acute bronchitis (disorder),1,500
1965-05-01,Acute bronchitis (disorder),1,500
1966-11-01,Acute bronchitis (disorder),1,500
1967-02-01,Acute bronchitis (disorder),1,500
1967-09-01,Acute bronchitis (disorder),1,500
1970-08-01,Acute bronchitis (disorder),1,500
1970-12-01,Acute bronchitis (disorder),1,500
1974-03-01,Acute bronchitis (disorder),1,500
1975-12-01,Acute bronchitis (disorder),1,500
1977-07-01,Acute bronchitis (disorder),1,500
1978-01-01,Acute bronchitis (disorder),1,500
1978-12-01,Acute bronchitis (disorder),1,500
1979-09-01,Acute bronchitis (disorder),1,500
1980-02-01,Acute bronchitis (disorder),1,500
1980-10-01,Acute bronchitis (disorder),1,500
1981-04-01,Acute bronchitis (disorder),1,500
1982-09-01,Acute bronchitis (disorder),1,500
1983-02-01,Acute bronchitis (disorder),1,500
1983-10-01,Acute bronchitis (disorder),1,500
1983-11-01,Acute bronchitis (disorder),1,500
1984-07-01,Acute bronchitis (disorder),1,500
1984-08-01,Acute bronchitis (disorder),1,500
1985-03-01,Acute bronchitis (disorder),1,500
1988-07-01,Acute bronchitis (disorder),2,1000
1988-09-01,Acute bronchitis (disorder),1,500
1989-03-01,Acute bronchitis (disorder),1,500
1989-04-01,Acute bronchitis (disorder),1,500
1990-05-01,Acute bronchitis (disorder),1,500
1990-06-01,Acute bronchitis (disorder),1,500
1991-01-01,Acute bronchitis (disorder),1,500
1991-05-01,Acute bronchitis (disorder),1,500
1991-09-01,Acute bronchitis (disorder),1,500
1993-08-01,Acute bronchitis (disorder),2,1000
1993-11-01,Acute bronchitis (disorder),1,500
1994-07-01,Acute bronchitis (disorder),1,500
1995-01-01,Acute bronchitis (disorder),1,500
1995-10-01,Acute bronchitis (disorder),1,500
1996-01-01,Acute bronchitis (disorder),1,500
1996-04-01,Acute bronchitis (disorder),1,500
1996-06-01,Acute bronchitis (disorder),1,500
1996-08-01,Acute bronchitis (disorder),1,500
1996-10-01,Acute bronchitis (disorder),1,500
1997-05-01,Acute bronchitis (disorder),2,1000
1998-10-01,Acute bronchitis (disorder),1,500
1999-01-01,Acute bronchitis (disorder),1,500
1999-05-01,Acute bronchitis (disorder),1,500
1999-07-01,Acute bronchitis (disorder),1,500
1999-08-01,Acute bronchitis (disorder),1,500
1999-10-01,Acute bronchitis (disorder),2,1000
1999-11-01,Acute bronchitis (disorder),1,500
2000-04-01,Acute bronchitis (disorder),1,500
2000-09-01,Acute bronchitis (disorder),1,500
2001-04-01,Acute bronchitis (disorder),1,500
2001-10-01,Acute bronchitis (disorder),1,500
2001-12-01,Acute bronchitis (disorder),1,500
2002-05-01,Acute bronchitis (disorder),1,500
2002-11-01,Acute bronchitis (disorder),1,500
2003-07-01,Acute bronchitis (disorder),1,500
2003-08-01,Acute bronchitis (disorder),2,1000
2003-10-01,Acute bronchitis (disorder),1,500
