MonthStart,Disease,ForecastPatientCount,ForecastClaimAmount
2026-02-01,Medication review due (situation),61.45,32555.36
2026-03-01,Medication review due (situation),61.56,32618.08
2026-04-01,Medication review due (situation),61.68,32680.81
2026-05-01,Medication review due (situation),61.8,32743.53
2026-06-01,Medication review due (situation),61.92,32806.25
2026-07-01,Medication review due (situation),62.04,32868.98
2026-02-01,Gingivitis (disorder),31.28,15667.92
2026-03-01,Gingivitis (disorder),31.36,15708.3
2026-04-01,Gingivitis (disorder),31.44,15748.69
2026-05-01,Gingivitis (disorder),31.52,15789.07
2026-06-01,Gingivitis (disorder),31.6,15829.46
2026-07-01,Gingivitis (disorder),31.68,15869.85
2026-02-01,Full-time employment (finding),25.88,12944.43
2026-03-01,Full-time employment (finding),25.93,12973.87
2026-04-01,Full-time employment (finding),25.99,13003.3
2026-05-01,Full-time employment (finding),26.05,13032.74
2026-06-01,Full-time employment (finding),26.11,13062.18
2026-07-01,Full-time employment (finding),26.17,13091.61
2026-02-01,Stress (finding),27.51,13758.88
2026-03-01,Stress (finding),27.57,13790.12
2026-04-01,Stress (finding),27.63,13821.35
2026-05-01,Stress (finding),27.69,13852.59
2026-06-01,Stress (finding),27.75,13883.82
2026-07-01,Stress (finding),27.82,13915.06
2026-02-01,Viral sinusitis (disorder),19.95,9974.2
2026-03-01,Viral sinusitis (disorder),20.03,10013.87
2026-04-01,Viral sinusitis (disorder),20.11,10053.54
2026-05-01,Viral sinusitis (disorder),20.19,10093.21
2026-06-01,Viral sinusitis (disorder),20.27,10132.88
2026-07-01,Viral sinusitis (disorder),20.35,10172.55
2026-02-01,Part-time employment (finding),18.65,9328.95
2026-03-01,Part-time employment (finding),18.7,9354.75
2026-04-01,Part-time employment (finding),18.75,9380.54
2026-05-01,Part-time employment (finding),18.8,9406.34
2026-06-01,Part-time employment (finding),18.85,9432.14
2026-07-01,Part-time employment (finding),18.9,9457.94
2026-02-01,Limited social contact (finding),10.81,5403.17
2026-03-01,Limited social contact (finding),10.84,5417.53
2026-04-01,Limited social contact (finding),10.86,5431.88
2026-05-01,Limited social contact (finding),10.89,5446.23
2026-06-01,Limited social contact (finding),10.92,5460.58
2026-07-01,Limited social contact (finding),10.95,5474.93
2026-02-01,Social isolation (finding),10.78,5390.7
2026-03-01,Social isolation (finding),10.81,5405.36
2026-04-01,Social isolation (finding),10.84,5420.02
2026-05-01,Social isolation (finding),10.87,5434.67
2026-06-01,Social isolation (finding),10.9,5449.33
2026-07-01,Social isolation (finding),10.93,5463.99
2026-02-01,Gingival disease (disorder),13.15,6578.25
2026-03-01,Gingival disease (disorder),13.2,6602.92
2026-04-01,Gingival disease (disorder),13.24,6627.59
2026-05-01,Gingival disease (disorder),13.29,6652.25
2026-06-01,Gingival disease (disorder),13.34,6676.92
2026-07-01,Gingival disease (disorder),13.39,6701.59
2026-01-01,Received higher education (finding),1.86,927.7
2026-02-01,Received higher education (finding),1.86,927.57
2026-03-01,Received higher education (finding),1.85,927.44
2026-04-01,Received higher education (finding),1.85,927.31
2026-05-01,Received higher education (finding),1.85,927.19
2026-06-01,Received higher education (finding),1.85,927.06
2026-02-01,Body mass index 30+ - obesity (finding),2.44,1220.02
2026-03-01,Body mass index 30+ - obesity (finding),2.44,1221.11
2026-04-01,Body mass index 30+ - obesity (finding),2.44,1222.21
2026-05-01,Body mass index 30+ - obesity (finding),2.45,1223.31
2026-06-01,Body mass index 30+ - obesity (finding),2.45,1224.41
2026-07-01,Body mass index 30+ - obesity (finding),2.45,1225.51
2026-02-01,Acute viral pharyngitis (disorder),12.54,6268.45
2026-03-01,Acute viral pharyngitis (disorder),12.6,6297.68
2026-04-01,Acute viral pharyngitis (disorder),12.65,6326.9
2026-05-01,Acute viral pharyngitis (disorder),12.71,6356.12
2026-06-01,Acute viral pharyngitis (disorder),12.77,6385.34
2026-07-01,Acute viral pharyngitis (disorder),12.83,6414.56
2026-02-01,Not in labor force (finding),11.11,5556.64
2026-03-01,Not in labor force (finding),11.15,5573.41
2026-04-01,Not in labor force (finding),11.18,5590.17
2026-05-01,Not in labor force (finding),11.21,5606.93
2026-06-01,Not in labor force (finding),11.25,5623.7
2026-07-01,Not in labor force (finding),11.28,5640.46
2026-02-01,Primary dental caries (disorder),10.27,5134.33
2026-03-01,Primary dental caries (disorder),10.31,5153.39
2026-04-01,Primary dental caries (disorder),10.34,5172.46
2026-05-01,Primary dental caries (disorder),10.38,5191.53
2026-06-01,Primary dental caries (disorder),10.42,5210.59
2026-07-01,Primary dental caries (disorder),10.46,5229.66
2026-02-01,Victim of intimate partner abuse (finding),7.11,3552.63
2026-03-01,Victim of intimate partner abuse (finding),7.12,3562.31
2026-04-01,Victim of intimate partner abuse (finding),7.14,3572.0
2026-05-01,Victim of intimate partner abuse (finding),7.16,3581.69
2026-06-01,Victim of intimate partner abuse (finding),7.18,3591.37
2026-07-01,Victim of intimate partner abuse (finding),7.2,3601.06
2026-02-01,Acute bronchitis (disorder),9.91,4953.49
2026-03-01,Acute bronchitis (disorder),9.95,4976.14
2026-04-01,Acute bronchitis (disorder),10.0,4998.8
2026-05-01,Acute bronchitis (disorder),10.04,5021.45
2026-06-01,Acute bronchitis (disorder),10.09,5044.11
2026-07-01,Acute bronchitis (disorder),10.13,5066.77
2026-01-01,Prediabetes (finding),2.15,1077.09
2026-02-01,Prediabetes (finding),2.16,1078.12
2026-03-01,Prediabetes (finding),2.16,1079.16
2026-04-01,Prediabetes (finding),2.16,1080.2
2026-05-01,Prediabetes (finding),2.16,1081.23
2026-06-01,Prediabetes (finding),2.16,1082.27
2026-02-01,Unemployed (finding),7.14,3570.42
2026-03-01,Unemployed (finding),7.17,3584.28
2026-04-01,Unemployed (finding),7.2,3598.14
2026-05-01,Unemployed (finding),7.22,3612.01
2026-06-01,Unemployed (finding),7.25,3625.87
2026-07-01,Unemployed (finding),7.28,3639.73
2026-02-01,Anemia (disorder),2.26,1131.28
2026-03-01,Anemia (disorder),2.27,1132.62
2026-04-01,Anemia (disorder),2.27,1133.97
2026-05-01,Anemia (disorder),2.27,1135.32
2026-06-01,Anemia (disorder),2.27,1136.66
